,item_name,ori_img,detail_img,sub_title,price,delivery_title,delivery_detail,seller,package_title,package_detail,sell_unit,weight,origin,allergy,info
10,[KF365] 1+ 한우 국거리 300g(냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1645492554545l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221018/gv30000436962_1.jpg,"100g당 가격 : 4,967원","11,920",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,300g,국내산 (한우),"소고기 함유
이 제품은 돼지고기를 사용한 제품과 같은 시설에서 제조하고 있습니다.","출고일 기준, 유통기한 만기 7일 이상 남은 상품을 보내드립니다. (총유통기한 : 15일)"
11,[햇반/쿡반] 노릇노릇 구운 주먹밥 800g 9종 (택1),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/a6279127-2a63-4416-a9dc-0681cebd3331.jpg",https://img-cf.kurly.com/shop/data/goodsview/20230203/gv40000485108_1.jpg,든든하게 구비하는 노릇한 주먹밥,"12,980",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,800g(100g*8개),상품설명/상세정보 참조,옵션별 상이. 하단 한글표시사항 참고,비비고 볶음밥이 햇반/쿡반으로 브랜드명을 변경했습니다. 내용물엔 변경이 없는 점 구매에 참고 부탁드립니다.
12,[KF365] 한돈 삼겹살 구이용 600g~ (냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1637147561308l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20230222/gv00000495605_1.jpg,"100g 당 판매가 : 2,590원","15,540",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,"600g / 1,000g",국내산,"-돼지고기 함유
-이 제품은 알레르기 유발 성분(소고기)을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 5일 이상 남은 제품을 보내드립니다.
13,[나도하누] 한우 등심 250g (냉장),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/faf164fa-d527-4372-86b7-90d63f8d1424.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221201/gv30000459845_1.jpg,"100g당 판매가 : 8,760원 (쿠폰 적용가)","21,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,250g,상품설명/상세정보 참조,"쇠고기 함유
이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",포장일로부터 최소 5일 이내 제품을 보내드립니다.
14,[Kurly's] 동물복지 유정란 20구,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653036825212l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220528/gv20000321118_1.jpg,1구 당 판매가: 499.5원,"9,290",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,20구,국내산,-달걀 함유,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)"
15,[미자언니네] 꽃게 액젓 2종 (택1),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/d59df01e-45d0-4f1e-9cc7-b7bad1110662.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221121/gv10000454324_1.jpg,요리의 완성도를 올리는 한 수,"11,000",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,상온 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,옵션별 상이,상품설명/상세정보 참조,"- 대두, 밀, 새우, 게 함유
- 토마토, 오징어, 조개류(홍합), 쇠고기 혼입가능",수령일 포함 최소 145일 남은 제품을 보내 드립니다
16,땅끝 해남 쌀 10kg,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1640675139675l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20211228/gv40000262743_1.jpg,해남에서 온 건강한 밥맛,"29,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1포대,10kg,국산,신선식품으로 별도의 유통기한은 없습니다.,"상품의 특성상 상품의 중량의 3% 내외의 차이가 발생할 수 있습니다.
22년산 입니다."
17,[연안식당] 부추 꼬막 비빔장,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653441921826l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220629/gv30000331996_1.jpg,간단하게 완성하는 맛집의 대표 메뉴,"6,400",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1통,150g,상품설명/상세정보 참조,"- 우유, 대두, 밀, 쇠고기, 조개류(굴, 꼬막) 함유
- 이 제품은 알류, 메밀, 땅콩, 고등어, 새우, 게, 돼지고기, 복숭아, 토마토, 아황산류. 호두, 닭고기, 오징어, 조개류(전복, 홍합), 잣을 사용한 제품과 같은 제조시설에서 제조",수령일 포함 최소 180일 남은 제품을 보내 드립니다 (총 유통기한 365일)
18,[녹색한우] 무항생제 1+ 한우 양지 국거리용 200g (냉동),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/29cff54c-7f71-41f1-8ef6-5bf14b1c289b.jpg",https://img-cf.kurly.com/shop/data/goodsview/20230302/gv10000497475_1.jpg,"100g당 판매가 : 6,450원","12,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산 (한우),소고기 함유,"이력번호가 표시된 제품이며, 이력번호는 수령하시는 상품 패키지에서 확인 가능합니다."
19,[귤림원] 당도선별 GAP 하우스 감귤 1kg,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653038898692l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220516/gv10000315751_1.jpg,기분 좋은 주황빛 달콤함,"9,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1kg,국산,농산물이므로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,12 Brix 이상
20,[델리치오] 호주산 목초육 안심 스테이크 250g (냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653037997440l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220607/gv20000323574_1.jpg,100g 당 9160원,"18,320",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,250g,호주산,"- 소고기 함유
- 대두, 밀, 돼지고기, 우유, 토마토, 새우, 아황산류, 닭고기, 조개류(굴, 홍합, 전복), 오징어, 잣, 알류, 게, 복숭아, 땅콩, 호두, 고등어, 메밀과 동일 제조시설에서 제조",수령일 포함 최소 3일 남은 제품을 보내 드립니다.
21,[KF365] 오리지널 바베큐폭립 1kg(500gX2EA),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/b8c4673a-8e39-4dfc-9e3c-d2fd013e8cfa.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221012/gv40000435520_1.jpg,온 가족이 즐기는 큼직한 바베큐 폭립!,"19,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1kg(500g*2),상품설명/상세정보 참조,"- 돼지고기, 토마토, 대두, 쇠고기, 닭고기, 밀, 조개류(굴), 이산화항 함유
- 이 제품은 계란, 새우, 조개류(바지락, 개량조개)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.
- 본 포장재는 전자레인지용이 아니므로 전자레인지 조리시 전자레인지용 용기를 사용하시기 바랍니다.",수령일로 부터 155일 이상 남은 상품을 보내 드립니다.,"해당 상품은 냉동 제품입니다
 이미 냉동된 바 있으니 해동된 제품은 재냉동 시키지 마십시오."
22,[도리깨침] 월남쌈 밀키트,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1594708483846l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20230117/gv20000477450_1.jpg,풍성한 재료에 담긴 다채로운 맛,"20,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,700g,상품설명/상세정보 참조,"- 소고기, 계란, 대두, 밀, 새우, 땅콩, 토마토 함유
- 이 제품은 우유, 메밀, 고등어, 게, 돼지고기, 복숭아, 호두, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 2일 남은 제품을 보내드립니다.
23,[태우한우] 1+ 한우 절단국거리용 200g (냉장),"https://product-image.kurly.com/cdn-cgi/image/quality=85,width=676/product/image/d1c2fda6-e5a6-4dd7-8464-e4ee6e002b5c.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210929/gv30000230077_1.jpg,"100g당 가격: 6,400원","10,240",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산(한우),"-소고기 함유
- 이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",제조일로부터 8일 이내 상품을 보내드립니다.
24,[그릭데이] 그릭요거트 시그니처 450g,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1655708537238l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220620/gv30000328493_1.jpg,꾸덕한 질감과 진한 고소함,"12,150",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,450g,상품설명/상세정보 참조,- 우유 함유,수령일 포함 최소 5일 남은 제품을 보내드립니다
25,[KF365] 삼겹살 대패 1kg (냉동),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653040211228l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220915/gv20000426255_1.jpg,"100g당 판매가 : 1,290원","12,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1kg,상품설명/상세정보 참조,"- 돼지고기 함유
- 본 제품은 소고기, 닭고기, 알류(달걀), 밀, 대두를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","이력번호가 표시된 제품이며, 이력번호는 수령하시는 상품 패키지에서 확인 가능합니다."
26,[가농바이오] 비타플러스에그 무항생제 1+등급 특란 20구,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1610416231454l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210720/gv20000203912_1.jpg,1구 당 판매가 : 400원,"8,000",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,20구,국내산,-계란 함유,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)"
27,[연세우유 x 마켓컬리] 전용목장우유 900mL,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1637154205701l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210108/gv20000150188_1.jpg,"가격, 퀄리티 모두 만족스러운 1A등급 우유","2,250",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,900ml,상품설명/상세정보 참조,"-우유함유
-본 제품은 대두,땅콩,알류,밀,복숭아,토마토,호두,메밀,아황산류,잣을 사용한 제품과 같은 시설에서 제조하고 있습니다",수령일 포함 최소 6일 이상 남은 상품을 발송드립니다
28,[이연복의 목란] 짜장면 2인분,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653035157645l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20220104/gv30000264431_1.jpg,대가가 선보이는 한 그릇,"9,207",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1040g,상품설명/상세정보 참조,"- 중화면: 밀 함유
- 이 제품은 대두, 메밀, 우유, 알류를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.
- 짜장소스: 돼지고기, 대두, 밀 함유
- 이 제품은 계란, 우유, 땅콩, 토마토, 게, 새우, 오징어, 조개류(굴, 홍합), 닭고기, 쇠고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 120일 이상 남은 제품을 보내드립니다.
29,[KF365] 생 등심 돈까스 8입 1kg (냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653886802261l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20210914/gv30000226689_1.jpg,넉넉하게 즐기는 바삭한 돈가스,"14,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,1kg (8개입),상품설명/상세정보 참조,"- 돼지고기, 밀, 대두, 계란 함유
- 우유, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류, 잣과 같은 시설에서 제조",수령일 포함 최소 4일 이상 남은 제품을 보내드립니다.
30,[KF365] 노르웨이 생연어회 200g (냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/165708868919l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20220930/gv00000432719_1.jpg,혼자서도 부담 없는 연어회,"13,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,상품설명/상세정보 참조,"- 맛있는연어용소스: 대두, 밀, 난류 함유
- 사시미간장소스: 대두, 밀 함유",수령 후 가급적 빠른 섭취 부탁드립니다
31,[태우한우] 1+ 한우 채끝 구이용 200g (냉장),"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1508379688690l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20200717/gv30000107971_1.jpg,"100g당 판매가 : 15,750원","26,775",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산(한우),"- 소고기 함유
- 이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",포장일로부터 최소 8일 이내 제품을 보내 드립니다.
32,[금미옥] 쌀 떡볶이,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1653035375221l0.jpeg",https://img-cf.kurly.com/shop/data/goodsview/20230131/gv30000481318_1.jpg,"최소 구매 수량 2개 (11,600원)","5,394",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,440g,상품설명/상세정보 참조,"- 쇠고기, 밀, 대두, 우유, 조개류(굴), 새우 함유
- 이 제품은 알류, 메밀, 땅콩, 고등어, 게, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","출고일 기준, 유통기한 만기 165일 이상 남은 상품을 보내드립니다. (총유통기한 : 365일)"
33,친환경 설향 딸기 500g,"https://img-cf.kurly.com/cdn-cgi/image/quality=85,width=676/shop/data/goods/1609229005799l0.jpg",https://img-cf.kurly.com/shop/data/goodsview/20221219/gv00000467992_1.jpg,촉촉하게 번지는 새콤달콤함,"10,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,500g 내외,국내,농산물로 별도의 유통기한은 없으나 가급적 빨리 섭취를 권장드립니다.,9.9 Brix 이상
