,sub_title,price,delivery_title,delivery_detail,seller,package_title,package_detail,sell_unit,weight,origin,allergy,info
10,"100g당 가격 : 4,967원","11,920",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,300g,국내산 (한우),"소고기 함유
이 제품은 돼지고기를 사용한 제품과 같은 시설에서 제조하고 있습니다.","출고일 기준, 유통기한 만기 7일 이상 남은 상품을 보내드립니다. (총유통기한 : 15일)"
11,든든하게 구비하는 노릇한 주먹밥,"12,980",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,800g(100g*8개),상품설명/상세정보 참조,옵션별 상이. 하단 한글표시사항 참고,비비고 볶음밥이 햇반/쿡반으로 브랜드명을 변경했습니다. 내용물엔 변경이 없는 점 구매에 참고 부탁드립니다.
12,"100g 당 판매가 : 2,590원","15,540",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,"600g / 1,000g",국내산,"-돼지고기 함유
-이 제품은 알레르기 유발 성분(소고기)을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 5일 이상 남은 제품을 보내드립니다.
13,"100g당 판매가 : 8,760원 (쿠폰 적용가)","21,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,250g,상품설명/상세정보 참조,"쇠고기 함유
이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",포장일로부터 최소 5일 이내 제품을 보내드립니다.
14,1구 당 판매가: 499.5원,"9,290",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,20구,국내산,-달걀 함유,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)"
15,요리의 완성도를 올리는 한 수,"11,000",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,상온 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,옵션별 상이,상품설명/상세정보 참조,"- 대두, 밀, 새우, 게 함유
- 토마토, 오징어, 조개류(홍합), 쇠고기 혼입가능",수령일 포함 최소 145일 남은 제품을 보내 드립니다
16,해남에서 온 건강한 밥맛,"29,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1포대,10kg,국산,신선식품으로 별도의 유통기한은 없습니다.,"상품의 특성상 상품의 중량의 3% 내외의 차이가 발생할 수 있습니다.
22년산 입니다."
17,간단하게 완성하는 맛집의 대표 메뉴,"6,400",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1통,150g,상품설명/상세정보 참조,"- 우유, 대두, 밀, 쇠고기, 조개류(굴, 꼬막) 함유
- 이 제품은 알류, 메밀, 땅콩, 고등어, 새우, 게, 돼지고기, 복숭아, 토마토, 아황산류. 호두, 닭고기, 오징어, 조개류(전복, 홍합), 잣을 사용한 제품과 같은 제조시설에서 제조",수령일 포함 최소 180일 남은 제품을 보내 드립니다 (총 유통기한 365일)
18,"100g당 판매가 : 6,450원","12,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산 (한우),소고기 함유,"이력번호가 표시된 제품이며, 이력번호는 수령하시는 상품 패키지에서 확인 가능합니다."
19,기분 좋은 주황빛 달콤함,"9,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1kg,국산,농산물이므로 별도의 유통기한은 없으나 가급적 빠르게 드시기 바랍니다.,12 Brix 이상
20,100g 당 9160원,"18,320",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,250g,호주산,"- 소고기 함유
- 대두, 밀, 돼지고기, 우유, 토마토, 새우, 아황산류, 닭고기, 조개류(굴, 홍합, 전복), 오징어, 잣, 알류, 게, 복숭아, 땅콩, 호두, 고등어, 메밀과 동일 제조시설에서 제조",수령일 포함 최소 3일 남은 제품을 보내 드립니다.
21,온 가족이 즐기는 큼직한 바베큐 폭립!,"19,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1kg(500g*2),상품설명/상세정보 참조,"- 돼지고기, 토마토, 대두, 쇠고기, 닭고기, 밀, 조개류(굴), 이산화항 함유
- 이 제품은 계란, 새우, 조개류(바지락, 개량조개)를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.
- 본 포장재는 전자레인지용이 아니므로 전자레인지 조리시 전자레인지용 용기를 사용하시기 바랍니다.",수령일로 부터 155일 이상 남은 상품을 보내 드립니다.,"해당 상품은 냉동 제품입니다
 이미 냉동된 바 있으니 해동된 제품은 재냉동 시키지 마십시오."
22,풍성한 재료에 담긴 다채로운 맛,"20,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,700g,상품설명/상세정보 참조,"- 소고기, 계란, 대두, 밀, 새우, 땅콩, 토마토 함유
- 이 제품은 우유, 메밀, 고등어, 게, 돼지고기, 복숭아, 호두, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 2일 남은 제품을 보내드립니다.
23,"100g당 가격: 6,400원","10,240",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산(한우),"-소고기 함유
- 이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",제조일로부터 8일 이내 상품을 보내드립니다.
24,꾸덕한 질감과 진한 고소함,"12,150",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,450g,상품설명/상세정보 참조,- 우유 함유,수령일 포함 최소 5일 남은 제품을 보내드립니다
25,"100g당 판매가 : 1,290원","12,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1kg,상품설명/상세정보 참조,"- 돼지고기 함유
- 본 제품은 소고기, 닭고기, 알류(달걀), 밀, 대두를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","이력번호가 표시된 제품이며, 이력번호는 수령하시는 상품 패키지에서 확인 가능합니다."
26,1구 당 판매가 : 400원,"8,000",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,20구,국내산,-계란 함유,"출고일 기준, 산란일로부터 10일 이내 상품을 배송해드립니다.(총 유통기한 : 산란일로부터 30일)"
27,"가격, 퀄리티 모두 만족스러운 1A등급 우유","2,250",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,900ml,상품설명/상세정보 참조,"-우유함유
-본 제품은 대두,땅콩,알류,밀,복숭아,토마토,호두,메밀,아황산류,잣을 사용한 제품과 같은 시설에서 제조하고 있습니다",수령일 포함 최소 6일 이상 남은 상품을 발송드립니다
28,대가가 선보이는 한 그릇,"9,207",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1040g,상품설명/상세정보 참조,"- 중화면: 밀 함유
- 이 제품은 대두, 메밀, 우유, 알류를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.
- 짜장소스: 돼지고기, 대두, 밀 함유
- 이 제품은 계란, 우유, 땅콩, 토마토, 게, 새우, 오징어, 조개류(굴, 홍합), 닭고기, 쇠고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 120일 이상 남은 제품을 보내드립니다.
29,넉넉하게 즐기는 바삭한 돈가스,"14,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1개,1kg (8개입),상품설명/상세정보 참조,"- 돼지고기, 밀, 대두, 계란 함유
- 우유, 땅콩, 고등어, 게, 새우, 복숭아, 토마토, 아황산류, 호두, 닭고기, 쇠고기, 오징어, 조개류, 잣과 같은 시설에서 제조",수령일 포함 최소 4일 이상 남은 제품을 보내드립니다.
30,혼자서도 부담 없는 연어회,"13,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,상품설명/상세정보 참조,"- 맛있는연어용소스: 대두, 밀, 난류 함유
- 사시미간장소스: 대두, 밀 함유",수령 후 가급적 빠른 섭취 부탁드립니다
31,"100g당 판매가 : 15,750원","26,775",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,국내산(한우),"- 소고기 함유
- 이 제품은 돼지고기를 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",포장일로부터 최소 8일 이내 제품을 보내 드립니다.
32,"최소 구매 수량 2개 (11,600원)","5,394",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,440g,상품설명/상세정보 참조,"- 쇠고기, 밀, 대두, 우유, 조개류(굴), 새우 함유
- 이 제품은 알류, 메밀, 땅콩, 고등어, 게, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.","출고일 기준, 유통기한 만기 165일 이상 남은 상품을 보내드립니다. (총유통기한 : 365일)"
33,촉촉하게 번지는 새콤달콤함,"10,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,500g 내외,국내,농산물로 별도의 유통기한은 없으나 가급적 빨리 섭취를 권장드립니다.,9.9 Brix 이상
34,"콩나물, 치즈와 2인용으로 돌아온","13,500",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,1858g,상품설명/상세정보 참조,"-대두, 밀, 우유, 새우, 쇠고기, 닭고기, 돼지고기, 계란, 토마토 함유
-이 제품은 알유, 메밀, 땅콩, 고등어, 게, 복숭아, 토마토, 아황산류, 호두, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조",수령일 포함 최소 3일 남은 제품을 보내 드립니다.
35,간편하게 구워 먹는 촉촉한 닭가슴살,"7,650",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,500g,상품설명/상세정보 참조,"- 닭고기 함유 
- 치즈맛: 닭고기, 우유, 대두, 밀, 알류 함유
이 제품은 알류, 우유, 메밀, 땅콩, 대두, 밀, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 호두, 쇠고기, 오징어, 조개류, 아황산류, 잣을 사용한 제품과 같은 시설에서 제조했습니다.",수령일 포함 347일 이상 남은 상품을 보내드립니다. (유통기한: 제조일로부터 547일)
36,두루 사용하기 좋은 간편 새우,"6,800",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉동 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,200g,상품설명/상세정보 참조,"-새우 함유
-본 제품은 난류(계란), 우유, 대두, 밀, 고등어, 닭고기, 쇠고기, 오징어, 조개류(홍합, 굴, 전복 포함)를 사용한 재품과 같은 제조시설에서 제조","출고일 기준, 유통기한 만기 365일 이상 남은 상품을 보내드립니다. (총유통기한 : 730일)"
37,"믿고 먹을 수 있는 상품을 합리적인 가격에, KF365","5,980",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1봉,1kg,국내산,농산물로 별도의 유통기한은 없응나 가급적 빠르게 드시기 바랍니다.,"식품 특성상 중량은 3% 내외의 차이가 발생할 수 있습니다.
시세에 따라 가격이 변동 될 수 있습니다.
햇빛을 피해 보관해 주시기 바라며 햇빛을 받아 껍질이나 내부가 초록색으로 변한 경우 섭취하지 마시기 바랍니다."
38,삼시세끼 넉넉하게 즐길 수 있는 고품격 쌀밥 22년산쌀,"45,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1포,8kg,국산,농산물로 별도 유통기한은 없으나 개봉 후 가급적 빠르게 드시기 바랍니다,식품 특성상 중량은 3%내외의 차이가 발생할 수 있습니다.
39,아삭하고 은은한 단맛이 일품인 베리류의 왕,"7,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,3팩묶음,125g*3팩,칠레,신선식품으로 별도의 유통기한은 없으나 최대한 빠른 섭취 부탁드립니다.,"신선식품으로 중량에 3% 내외의 차이가 있을 수 있습니다.
구매하시면, 125g 팩을 총 3팩 담아서 보내드립니다.
팩에 부착된 스티커가 서로 다른 상품을 받아보실 수 있습니다. 이는 수확 농장에 따라서 다르게 붙일 수 있으며, 같은 칠레산 블루베리 125g 상품임을 안내드립니다."
40,"호밀빵으로 더한 고소함 (1개당 판매가 2,333원~)","7,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,3개,옵션별 상이,상품설명/상세정보 참조,"- 햄 샌드위치 : 대두,밀, 우유, 달걀, 돼지고기, 쇠고기, 조개류(굴), 닭고기 함유
- 치즈 샌드위치 : 대두, 밀, 우유, 달걀, 쇠고기, 조개류(굴), 닭고기 함유
- 햄치즈 샌드위치 : 대두, 밀, 우유, 달걀, 돼지고기, 소고기, 조개류(굴), 닭고기 함유
* 알레르기 함유 가능성 물질은 상세페이지 참고",수령일 포함 최소 3일 이상 남은 제품을 보내드립니다.
41,매콤새콤한 국물이 자작한,"9,900",샛별배송,"23시 전 주문 시 내일 아침 7시 전 도착
(대구·부산·울산 샛별배송 운영시간 별도 확인)",컬리,냉장 (종이포장),택배배송은 에코 포장이 스티로폼으로 대체됩니다.,1팩,872g,상품설명/상세정보 참조,"- 대두, 밀, 쇠고기, 새우, 함유
- 본 제품은 알류, 우유, 메밀, 땅콩, 고등어, 게, 돼지고기, 복숭아, 토마토, 아황산류, 호두, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",수령일 포함 최소 2일 이상 남은 제품을 보내드립니다. (총유통기한 3일)
